IDDEFAULTSCREDITINDEX,INDEXLABEL,SERIES,BASEPRODUCT,SUBPRODUCT,TRANSACTIONTYPE,FAMILY,ONTHERUN
246,iTraxx SovX CEEMEA,8,Index,iTraxx,iTraxxSovXCEEMEA,,FALSE
247,iTraxx SovX CEEMEA,9,Index,iTraxx,iTraxxSovXCEEMEA,,FALSE
248,iTraxx SovX CEEMEA,10,Index,iTraxx,iTraxxSovXCEEMEA,,FALSE
249,iTraxx SovX CEEMEA,11,Index,iTraxx,iTraxxSovXCEEMEA,,FALSE
250,iTraxx SovX CEEMEA,12,Index,iTraxx,iTraxxSovXCEEMEA,,FALSE
251,iTraxx SovX CEEMEA,13,Index,iTraxx,iTraxxSovXCEEMEA,,FALSE
252,iTraxx SovX CEEMEA,14,Index,iTraxx,iTraxxSovXCEEMEA,,TRUE
253,iTraxx SovX Western Europe,1,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
254,iTraxx SovX Western Europe,2,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
255,iTraxx SovX Western Europe,3,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
256,iTraxx SovX Western Europe,4,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
257,iTraxx SovX Western Europe,5,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
258,iTraxx SovX Western Europe,6,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
259,iTraxx SovX Western Europe,7,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
260,iTraxx SovX Western Europe,8,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
261,iTraxx SovX Western Europe,9,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
262,iTraxx SovX Western Europe,10,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
263,iTraxx SovX Western Europe,11,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
264,iTraxx SovX Western Europe,12,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
265,iTraxx SovX Western Europe,13,Index,iTraxx,iTraxxSovXWesternEurope,,FALSE
266,iTraxx SovX Western Europe,14,Index,iTraxx,iTraxxSovXWesternEurope,,TRUE
267,iTraxx Asia ex-Japan IG,12,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
268,iTraxx Asia ex-Japan IG,13,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
269,iTraxx Asia ex-Japan IG,14,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
270,iTraxx Asia ex-Japan IG,15,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
271,iTraxx Asia ex-Japan IG,16,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
272,iTraxx Asia ex-Japan IG,17,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
273,iTraxx Asia ex-Japan IG,18,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
274,iTraxx Asia ex-Japan IG,19,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
275,iTraxx Asia ex-Japan IG,20,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
276,iTraxx Asia ex-Japan IG,21,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
277,iTraxx Asia ex-Japan IG,22,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
278,iTraxx Asia ex-Japan IG,23,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
279,iTraxx Asia ex-Japan IG,24,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
280,iTraxx Asia ex-Japan IG,25,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
281,iTraxx Asia ex-Japan IG,26,Index,iTraxx,iTraxxAsiaExJapan,IG,FALSE
306,iTraxx Asia ex-Japan IG,27,Index,iTraxx,iTraxxAsiaExJapan,IG,TRUE
282,iTraxx Asia ex-Japan HY,11,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
283,iTraxx Asia ex-Japan HY,12,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
284,iTraxx Asia ex-Japan HY,13,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
285,iTraxx Asia ex-Japan HY,14,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
286,iTraxx Asia ex-Japan HY,15,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
287,iTraxx Asia ex-Japan HY,16,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
288,iTraxx Asia ex-Japan HY,17,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
289,iTraxx Asia ex-Japan HY,18,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
290,iTraxx Asia ex-Japan HY,19,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
291,iTraxx Asia ex-Japan HY,20,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
292,iTraxx Asia ex-Japan HY,21,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
293,iTraxx Asia ex-Japan HY,22,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
294,iTraxx Asia ex-Japan HY,23,Index,iTraxx,iTraxxAsiaExJapan,HY,FALSE
